Sudeste;Rural;Pública;7,5;4,7;5,0;4,7;4,8;4,8;4,8;4,8;5,3;5,3;5,3;5,2;6,3;6,6;6,1;6,1;6,6
Sul;Urbana;Total;9,0;5,6;4,6;4,5;4,6;4,6;4,6;4,5;4,6;4,6;4,6;4,6;4,9;5,3;4,8;4,7;4,4
Sul;Rural;Total;9,1;4,7;4,5;4,4;4,5;4,5;4,5;4,4;4,6;4,6;4,5;4,5;5,7;6,0;5,5;5,5;5,4
Sul;Urbana;Federal;6,4;5,3;5,1;5,0;4,6;4,7;4,7;4,7;5,2;5,2;5,2;5,1;6,0;6,1;6,3;6,1;4,8
Sul;Rural;Federal;;;;;;;;;;;;;8,4;8,5;8,5;8,5;6,9
Sul;Urbana;Estadual;10,2;6,3;4,6;4,3;4,3;4,3;4,3;4,4;4,7;4,7;4,6;4,6;4,8;5,2;4,7;4,6;4,3
Sul;Rural;Estadual;;4,2;4,4;4,2;4,2;4,3;4,3;4,3;4,5;4,5;4,5;4,5;5,3;5,7;5,2;5,1;4,8
Sul;Urbana;Municipal;9,0;5,4;4,5;4,5;4,6;4,6;4,6;4,6;4,4;4,4;4,3;4,3;4,9;5,0;4,9;4,7;6,5
Sul;Rural;Municipal;9,0;4,7;4,5;4,5;4,5;4,5;4,5;4,5;4,6;4,6;4,5;4,5;5,7;5,9;5,8;5,3;
Sul;Urbana;Privada;8,7;6,6;4,6;4,5;4,5;4,5;4,5;4,5;4,7;4,7;4,7;4,8;5,3;5,5;5,3;5,4;5,6
Sul;Rural;Privada;10,9;6,1;4,4;4,2;4,3;4,5;4,3;4,5;4,3;4,4;4,4;4,4;5,3;5,3;5,3;5,3;
Sul;Urbana;Pública;9,0;5,4;4,6;4,5;4,6;4,6;4,6;4,5;4,6;4,6;4,6;4,5;4,9;5,3;4,7;4,6;4,4
Sul;Rural;Pública;9,0;4,7;4,5;4,4;4,5;4,5;4,5;4,4;4,6;4,6;4,5;4,5;5,7;6,0;5,5;5,5;5,4
